Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
(hours - hh:mm)",,,,
,31-Mar,8:36,31-Mar,8:39,MC3,Fast stop DC overcurrent triggered,0:03:00,,,,
,31-Mar,8:59,31-Mar,9:02,MC3,Fast stop DC overcurrent triggered,0:03:00,,,,
,31-Mar,9:06,31-Mar,9:07,MC3,Fast stop DC overcurrent triggered,0:01:00,,,,
,31-Mar,9:11,31-Mar,9:15,MC3,Fast stop DC overcurrent triggered,0:04:00,,,,
,31-Mar,9:25,31-Mar,9:28,MC3,Fast stop DC overcurrent triggered,0:03:00,,,,
,31-Mar,9:32,31-Mar,9:44,MC3,Fast stop DC overcurrent triggered,0:12:00,,,,
,9-Apr,11:07,9-Apr,11:11,MB6,Fast stop external triggered,0:04,,,,
,11-Apr,8:05,11-Apr,8:08,MC3,Fast stop DC overcurrent triggered,0:03,,,,
,11-Apr,8:28,11-Apr,8:35,MC3,Fast stop DC overcurrent triggered,0:07,,,,
,14-Apr,17:07,14-Apr,17:11,MA2,Insulation failure,0:04,,,,
,15-Apr,8:23,15-Apr,8:31,MD6,Insulation failure,0:08,,,,
,16-Apr,7:18,16-Apr,7:23,MC2,Insulation failure,0:05,,,,
,16-Apr,8:19,16-Apr,8:20,MC2,Insulation failure,0:01,,,,
,16-Apr,8:41,16-Apr,8:46,MC2,Insulation failure,0:05,,,,
,16-Apr,16:05,16-Apr,16:08,MB5,Insulation failure,0:03,,,,
,16-Apr,17:19,16-Apr,17:47,MB1,Insulation failure,0:28,,,,
,16-Apr,17:35,16-Apr,18:04,MA5,Insulation failure,0:29,,,,
,16-Apr,17:50,16-Apr,18:19,MD2,Insulation failure,0:29,,,,
,16-Apr,17:58,16-Apr,18:26,MB2,Insulation failure,0:28,,,,
,16-Apr,18:00,16-Apr,18:27,MA6,Insulation failure,0:27,,,,
,16-Apr,18:08,16-Apr,18:36,MA5,Insulation failure,0:28,,,,
,16-Apr,18:24,16-Apr,18:48,MA1,Insulation failure,0:24,,,,
,16-Apr,18:43,16-Apr,18:47,MA6,Insulation failure,0:04,,,,
,16-Apr,18:51,16-Apr,19:14,MA5,Insulation failure,0:23,,,,
